Iteration,test_preds,estimated_params
1,"[-0.9253931, 4.1985345, -0.29041252, 1.577046, 1.0597571, 1.3558472, -0.27305582, 0.046112727, -0.36378223, 0.094798096, 0.018104985, 0.180969, -0.05643344, -0.23352392, 0.16475424, -0.14465132, -0.08675225, -0.034898106, 0.061578847, 0.04140776, 0.031818766]","[3.7120054, 4.7972646, 1.4686803, 4.731132, 2.8354683, 0.63917536, 2.9906278, 3.5938718, 4.7307825, 1.9140018]"
2,"[0.10451057, -0.45399728, -2.5672662, -3.9234378, -1.5901334, 0.010195717, 0.4024279, 0.24006078, 0.15545492, 0.14242692, 0.075139664, -0.34105167, -0.027823523, 0.12819734, -0.0048076063, 0.13456337, -0.15991615, -0.0339959, -0.011467566, -0.012878383, -0.05664279]","[1.4705318, 1.1978568, 3.417357, 1.2559136, 1.9702325, 2.573301, 1.3442043, 0.7602691, 1.8946052, 4.7346163]"
3,"[0.10909915, -2.72765, 4.9192963, 0.7585306, 0.9913363, -0.49682623, 0.54508394, -0.19933291, -0.1856898, -0.022088021, -0.066969246, -0.07349065, 0.19905633, 0.05503644, -0.1049979, -0.015681531, -0.20688249, 0.008840165, 0.057595957, 0.07613671, -0.04455344]","[1.9052135, 3.721721, 1.7711792, 1.9978632, 3.311904, 3.6189933, 3.8243487, 1.3958391, 0.44439852, 2.156694]"
4,"[-0.3807068, 1.9827574, -2.6350284, -0.720415, -0.601802, 2.2938616, 0.049523417, 0.14296424, 0.035662215, 0.17312661, -0.08835074, 0.15068375, -0.16805787, -0.13951297, 0.21405031, -0.05424649, 0.021986166, -0.017133858, -0.048891395, -0.007319583, -0.109324396]","[3.2645354, 2.455897, 3.7066197, 3.3682027, 1.8512846, 1.0110947, 0.5829565, 4.2475195, 3.6449103, 3.7949717]"
5,"[-0.026912987, 1.7155247, -5.0226097, 3.0707555, 5.6213293, -2.4426923, -0.22689447, -0.09118247, -0.14524454, 0.17262548, 0.16042988, 0.08252459, 0.076407626, 0.15819117, 0.2982022, 0.10877168, 0.20450932, 0.1265233, -0.056340717, 0.17196488, -0.083201714]","[4.146838, 4.0029325, 0.5236673, 0.8051723, 0.95864373, 1.7521852, 2.6480694, 4.086792, 4.523712, 3.3422923]"
6,"[1.1633832, -6.272898, 5.0375457, -2.768865, -5.4032435, -1.0614429, -0.670359, 0.49145088, 0.75892216, 0.06588048, 0.21143788, -0.11191888, 0.21164015, -0.024469554, -0.11938819, 0.26094568, 0.047312293, 0.07140003, 0.03639611, 0.17641227, -0.088259555]","[1.1425499, 0.29636064, 4.7863073, 4.9249754, 4.08371, 4.414746, 1.6339097, 1.2153791, 1.6712189, 0.17253567]"
7,"[-1.2765365, 5.7734346, 1.6959906, -1.0842248, -1.648009, -0.111369655, -0.05910523, -0.07884982, -0.15373722, 0.008416347, -0.018960744, 0.32244503, 0.17746292, 0.20151192, 0.06874566, 0.14597073, -0.038842313, -0.124952205, -0.04630109, 0.05561493, 0.031884592]","[0.5811809, 4.7261863, 3.0029922, 4.6685767, 4.7339907, 3.2051435, 3.369483, 2.6043324, 4.347027, 4.5851026]"
8,"[0.30642432, -3.1176364, 5.7861495, 3.030158, -0.5951936, 1.3338498, -0.2955468, -0.06437126, -0.16947556, -0.12535174, -0.077106446, -0.11829942, 0.10419549, -0.09924245, 0.14001545, 0.15286016, 0.034774534, 0.016753506, 0.12770282, 0.05750914, 0.047897574]","[2.7448466, 2.9891026, 4.2148128, 3.0163202, 2.3319483, 2.433781, 4.562068, 2.4260592, 0.92906785, 0.8778257]"
9,"[-0.5119887, 1.6475021, 0.5189963, -1.4929804, 1.2945589, -1.4465051, 0.074716285, -0.015384163, 0.32095128, -0.117873974, -0.16942641, 0.13263921, -0.043325134, 0.12197303, -0.09890509, -0.13340065, -0.06345443, -0.024805516, -0.13518867, -0.08033455, -0.002373939]","[2.3004754, 1.7924987, 1.0657823, 1.9238509, 2.760082, 4.3597403, 1.0932783, 4.633373, 2.633817, 2.5825956]"
10,"[0.5040765, -0.27889657, -4.7407694, 4.251848, -1.3304169, 3.4334044, -0.18542223, 0.2558055, 0.04696776, 0.14241302, -0.099984095, 0.46489146, -0.18233152, -0.5090215, -0.025739044, 0.0996055, -0.22464538, 0.0050549684, -0.09634037, -0.14167775, 0.043456078]","[2.422703, 3.1071916, 3.6467395, 4.8108373, 1.1456438, 0.32012957, 2.0148084, 2.4515233, 3.5341763, 1.2862995]"
11,"[-0.28994268, -0.06615117, 4.152302, 1.4465966, 1.2253946, -1.25704, 0.4124014, 0.017052114, -0.17720893, -0.31576914, -0.16233179, 0.028751373, -0.016379725, 0.119044185, -0.22282226, -0.1256398, -0.022380384, 0.07554949, -0.055221677, -0.03655439, -0.051112864]","[2.6138778, 1.9409263, 1.8358303, 1.0710933, 3.8892715, 2.8634238, 3.7015903, 4.770455, 0.6291213, 2.914615]"
12,"[-0.9759031, 2.5026982, 2.3300714, -2.9069417, 0.3601385, 2.583893, 0.3223786, -0.2754379, -0.011267789, 0.39031988, 0.09815743, 0.15395895, 0.04489702, -0.013441533, -0.22153005, 0.029469516, 0.26315555, 0.045694318, -0.10683037, 0.007277487, -0.046499245]","[4.538062, 4.753025, 4.579766, 3.7825596, 3.5630891, 4.632951, 1.0139766, 2.5505145, 1.4339453, 4.932014]"
13,"[0.23363924, 1.0952946, -3.5200336, 0.8429608, -2.4348588, -4.195971, -0.15421817, -0.020801492, 0.12933466, 0.02796609, 0.20141497, -0.28516492, 0.03119491, 0.02131717, 0.20476666, 0.0070047528, -0.28183803, 0.0055759116, 0.083608665, 0.07656467, 0.064396136]","[0.5193832, 0.96619433, 0.62182677, 2.5679457, 1.4752445, 2.2434325, 4.9395, 0.23905188, 4.6435566, 1.7720828]"
14,"[0.25392026, -1.1377828, -4.255756, -2.9212725, 0.0995851, 0.9450608, 0.04441558, 0.23941348, -0.24679063, 0.39904377, -0.44108915, 0.08907413, -0.18108732, 0.18669587, 0.15026645, -0.11280171, -0.010153207, -0.10697334, 0.09862828, -0.03676089, -0.06407995]","[1.3252922, 3.8345737, 2.50471, 1.4588163, 2.1112225, 0.80618185, 0.22757277, 3.4791355, 2.5925217, 3.6653895]"
15,"[-0.9603038, 3.7040634, 2.6278303, 0.53172827, -0.28324452, 0.20449123, -0.32659942, 0.37633348, 0.4451747, -0.32780915, 0.016790703, -0.23459934, 0.13263705, -0.049539063, -0.02778253, 0.036574982, 0.06583608, 0.0629761, 0.12182501, -0.051490195, 0.025154345]","[3.9246619, 0.14740565, 3.0895865, 2.4682627, 2.9774313, 3.8750172, 4.250278, 1.4476643, 4.200671, 0.4497927]"
16,"[-0.5377604, 1.209157, 0.31047487, -3.28247, 4.4666986, -2.2883546, -0.028368153, 0.021886975, 0.028088152, 0.33431017, 0.13090415, 0.0023907423, 0.18747632, 0.01666163, -0.20431921, 0.029082239, -0.12486152, 0.09650894, -0.05453848, -0.213696, 0.1217309]","[3.4050303, 3.5753934, 1.2930994, 0.1732948, 4.4602575, 4.0623903, 1.5214385, 1.5406201, 2.6779308, 2.5298095]"
17,"[0.4110094, -1.1881723, -1.5433232, 4.0796576, -1.9837481, 1.5674139, 0.54276836, -0.4145611, 0.00044932961, -0.14523381, -0.009757441, 0.04292299, -0.320199, 0.07759604, 0.0006710142, 0.14332512, 0.019660473, 0.016585091, -0.077697404, 0.043061938, 0.02171608]","[1.6621298, 2.3369708, 4.216334, 3.8619735, 0.5604983, 1.9212055, 2.8247418, 3.8733704, 0.75714916, 4.1299667]"
18,"[-0.11623649, -1.312788, 0.42387256, -3.8097422, 1.2900025, -0.012420612, -0.09537865, -0.021791458, 0.02615255, 0.31739798, -0.3765211, 0.22172756, -0.07016658, 0.06904728, -0.13462503, -0.1784484, -0.030673238, -0.032631926, -0.0056784893, 0.091682166, 0.008292973]","[1.554009, 4.6536727, 0.953286, 3.0242064, 4.1162333, 2.1459427, 0.4697047, 3.1091278, 2.1758802, 1.5519857]"
19,"[-0.8595172, 4.239785, -0.60226244, 1.1485234, -0.16583292, 0.90792394, 0.14100298, -0.1814558, 0.2735805, -0.09401376, 0.23387277, -0.27428, 0.014536336, 0.13482851, 0.20816533, 0.07294666, -0.038742524, -0.0100565255, 0.07177608, -0.07063681, -0.06220804]","[3.6519918, 1.0228848, 3.9202094, 1.6866511, 0.7267858, 4.872841, 3.9218762, 1.0472546, 3.8805573, 4.3830247]"
20,"[-0.62918055, 2.1923447, -0.4015614, -0.45400017, 0.5861449, 1.8029244, 0.06106702, -0.18017271, 0.15936872, 0.14448579, 0.13588011, -0.088461965, -0.09232926, -0.12981686, 0.029966082, -0.08539891, 0.030934276, -0.009192289, -0.045131225, 0.033954203, -0.024936756]","[4.266232, 2.5375578, 2.1884704, 4.3088126, 1.6385139, 2.779806, 1.8461553, 1.8927721, 3.0541182, 2.7161694]"
